infinitive,meaning,type,present_ich,present_du,present_er,present_wir,present_ihr,present_sie,past_ich,past_du,past_er,past_wir,past_ihr,past_sie,perfect_auxiliary,perfect_participle
arbeiten,工作,regular,arbeite,arbeitest,arbeitet,arbeiten,arbeitet,arbeitet,arbeitete,arbeitetest,arbeitete,arbeiteten,arbeitetet,arbeiteten,habe,gearbeitet
lernen,学习,regular,lerne,lernst,lernt,lernen,lernt,lernen,lernte,lerntest,lernte,lernten,lerntet,lernten,habe,gelernt
fragen,询问,regular,frage,fragst,fragt,fragen,fragt,fragen,fragte,fragtest,fragte,fragten,fragtet,fragten,habe,gefragt
sagen,说,regular,sage,sagst,sagt,sagen,sagt,sagen,sprach,sprachst,sprach,sprachen,spracht,sprachen,habe,gesagt
machen,做,regular,mache,machst,macht,machen,macht,machen,machte,machtet,machte,machten,machtet,machten,habe,gemacht
spielen,玩,regular,spiele,spielst,spielt,spielen,spielt,spielen,spielte,spieltet,spielte,spielten,spieltet,spielten,habe,gespielt
studieren,学习,regular,studiere,studierst,studiert,studieren,studiert,studieren,studierte,studiertet,studierte,studierten,studiertet,studierten,habe,studiert
wohnen,居住,regular,wohne,wohnst,wohnt,wohnen,wohnt,wohnen,wohnte,wohntest,wohnte,wohnten,wohntet,wohnten,habe,gewohnt
gehen,去,irregular,gehe,gehst,geht,gehen,geht,gehen,ging,gingst,ging,gingen,gingt,gingen,bin,gegangen
sehen,看,irregular,sehe,siehst,sieht,sehen,seht,sehen,sah,sahst,sah,sahen,saht,sahen,habe,gesehen
essen,吃,irregular,esse,isst,isst,essen,esst,essen,aß,aßt,aß,aßen,aßt,aßen,habe,gegessen
kommen,来,irregular,komme,kommst,kommt,kommen,kommt,kommen,kam,kamst,kam,kamen,kamt,kamen,bin,gekommen
singen,唱歌,irregular,singe,singst,singt,singen,singt,singen,sang,sangst,sang,saßen,sangt,saßen,habe,gesungen
trinken,喝,irregular,trinke,trinkst,trinkt,trinken,trinkt,trinken,trank,trankst,trank,tranken,trankt,tranken,habe,getrunken
fahren,行驶,irregular,fahre,fährst,fährt,fahren,fahrt,fahren,fuhren,fuhrenst,fuhren,fuhren,fuhret,fuhren,bin,gefahren
kennen,认识,irregular,kenne,kennst,kennen,kennen,kennt,kennen,kannte,kantest,kannte,kanten,kantet,kanten,habe,gekannt
können,能够,modal,kann,kannst,kann,können,könnt,können,konnte,konntest,konnte,konnten,konntet,konnten,haben,gekonnt
müssen,必须,modal,muss,musst,muss,müssen,müsst,müssen,musste,musstest,musste,mussten,musstet,mussten,haben,gemusst
sollen,应该,modal,soll,sollst,soll,sollen,sollt,sollen,sollte,solltet,sollte,sollten,solltet,sollten,haben,gesollt
wollen,想要,modal,will,willst,will,wollen,wollt,wollen,wollte,wolltet,wollte,wollten,wolltet,wollten,haben,gewollt
mögen,喜欢,modal,möchte,möchtest,möchte,möchten,möchtet,möchten,mochte,mochtest,mochte,mochten,mochtet,mochten,haben,gemocht
sein,是,special,bin,bist,ist,sind,seid,sind,war,warst,war,waren,wart,waren,bin,gewesen
haben,有,special,habe,hast,hat,haben,habt,haben,hatte,hattest,hatte,hatten,hattet,hatten,habe,gehabt
lesen,读,regular,lese,liest,liest,lesen,lest,lesen,las,lasst,las,lasen,last,lasen,habe,gelesen
schreiben,写,regular,schreibe,schreibst,schreibt,schreiben,schreibt,schreiben,schrieb,schriebst,schrieb,schrieben,schrieft,schrieben,habe,geschrieben
tun,做,irregular,tue,tust,tut,tun,tut,tun,tat,tust,tut,tun,tut,tun,habe,getan
tragen,携带,regular,trage,trägst,trägt,tragen,tragt,tragen,trug,trugst,trug,trugen,trugt,trugen,habe,getragen
finden,找到,irregular,finde,findest,findet,finden,finde,finden,fand,fandest,fand,fanden,fanet,fanden,habe,gefunden
bleiben,停留,irregular,bleibe,bleibst,bleibt,bleiben,bleibt,bleiben,blieb,bliebst,blieb,blieben,bliebet,blieben,bin,geblieben
bauen,建造,regular,baue,baust,baut,bauen,baut,bauen,bauten,bautest,bauten,bauten,bautet,bauten,habe,gebaut
helfen,帮助,regular,helfe,hilfst,hilft,helfen,helft,helfen,half,halfst,half,halfen,halft,halfen,habe,geholfen
hören,听,regular,höre,hörst,hört,hören,hört,hören,hörte,hörtest,hörte,hörten,hörtet,hörten,habe,gehört
nehmen,拿,irregular,nehme,nimmst,nimmt,nehmen,nehmt,nehmen,nahm,nahmst,nahm,nahmen,nahmt,nahmen,habe,genommen
stehen,站,irregular,stehe,stehst,steht,stehen,steht,stehen,stand,standest,stand,standen,standet,standen,habe,gestanden
kaufen,买,regular,kaufe,kaufst,kauft,kaufen,kauft,kaufen,kaufte,kauftest,kaufte,kauften,kauftet,kauften,habe,gekauft
bringen,带来,irregular,bringe,bringst,bringt,bringen,bringt,bringen,brachte,brachtest,brachte,brachten,brachtet,brachten,habe,gebracht
wissen,知道,irregular,weiß,weißt,weiß,wissen,wisst,wissen,wusste,wusstest,wusste,wussten,wusstet,wussten,habe,gewusst
werden,成为,irregular,werde,wirst,wird,werden,werdet,werden,ward,wurdest,ward,warden,wurdet,warden,bin,geworden
geben,给,irregular,gebe,gibst,gibt,geben,gebt,geben,gab,gabst,gab,gaben,gabt,gaben,habe,gegeben
anrufen,打电话,regular,rufe an,rufst an,ruft an,rufen an,ruft an,rufen an,rief an,riefst an,rief an,riefen an,riefet an,riefen an,habe,angerufen
antworten,回答,regular,antworte,antwortest,antwortet,antworten,antwortet,antworten,antwortete,antwortetest,antwortete,antworteten,antwortetet,antworteten,habe,geantwortet
verstehen,理解,irregular,verstehe,verstehst,versteht,verstehen,versteht,verstehen,verstand,verstandest,verstand,verstanden,verstandet,verstanden,habe,verstanden
